Gene	Antibody Count
LRRC59	1
RND2	6
ALOX12	8
HDAC5	18
ABCC3	29
LUC7L3	1
PPY	464
MPP2	34
SMURF2	14
DUSP3	17
CACNG1	0
EFTUD2	0
HLF	40
SLC16A6	0
PRKAR1A	8
EFNB3	1
FAM20A	0
YWHAE	8
MMD	0
RANGRF	2
DPH1	9
MAP2K6	29
DHRS7B	0
WSB1	1
RCVRN	57
MYH1	6
SLC9A3R1	28
MYH3	2
NAT9	1
TMEM104	0
VTN	220
TNFAIP1	1
IFT20	1
TMEM97	1
CDR2L	1
PMP22	45
FOXN1	1
UNC119	7
ALDOC	2
SUPT6H	0
RAB34	0
PHF12	1
PHOX2B	2
TMEM33	0
GABRA4	0
GNRHR	25
SLAIN2	0
OCIAD1	2
UGT2B10	7
CWH43	0
DCUN1D4	0
USP46	2
SULT1E1	1
ODAM	1
SMR3A	0
CHIC2	0
NMU	1
KIAA1211	0
LAMTOR3	0
PF4V1	0
NFKB1	45
AREG	104
MANBA	0
UBE2D3	14
MAPK10	40
ELF2	5
NDUFC1	0
UCP1	9
TBC1D9	0
ZNF330	0
INPP4B	7
GAB1	23
KLHL2	8
IL2	299
CPE	5
RPL34	1
WFS1	1
ANXA10	20
GRPEL1	0
GAR1	1
FRG1	10
CLCN3	0
AADAT	0
GALNT7	1
DHX15	0
SOD3	15
SEPSECS	18
CPZ	0
TRIM2	19
SLC2A9	1
FBXW7	26
NEIL3	4
TBC1D19	0
CLNK	0
NSD2	2
SH3D19	22
STIM2	1
NKX3-2	0
MFSD10	0
GLRB	1
BST1	6
RAPGEF2	8
HGFAC	8
SNX25	7
LRP2BP	0
UFSP2	0
KLF3	5
KLHL5	0
FAM149A	0
NCAPG	27
UGDH	6
PPARGC1A	28
DDX25	1
CRYAB	58
DBX1	0
HTATIP2	12
CTSC	1
CCDC34	0
ZBTB16	15
ELP4	1
ZPR1	13
MTCH2	1
FNBP4	0
TECTA	2
SC5D	0
CRTAM	7
JHY	0
B3GAT1	55
HSPA8	71
P2RX3	0
VWA5A	13
DNAJC4	0
SIAE	1
SNX15	5
LPXN	0
DTX4	0
ATG2A	0
EHD1	1
OSBP	3
UNC93B1	1
PUS3	0
DCPS	13
KMT5B	0
FOXRED1	0
PPP6R3	0
NRXN2	0
MS4A6A	1
MS4A4A	0
ST3GAL4	2
CPT1A	4
CCND1	84
CCDC86	0
PRPF19	9
TMEM109	0
CCKBR	2
HPX	51
TRIM3	0
CHORDC1	0
FOLR1	15
ANAPC15	0
FOLR3	1
PANX1	2
ARHGEF17	0
APOA5	46
APOA4	9
APOC3	8
CEP164	0
RNF141	9
CEP126	0
EIF4G2	39
IL10RA	24
GALNT18	0
BIRC2	13
UBE4A	8
DDX6	17
UPK2	0
CBL	160
NECTIN1	0
HIPK3	0
KIAA1549L	0
FBXO3	3
PDHX	13
SLC1A2	30
COMMD9	0
SLC15A3	0
CD5	303
ACCS	1
SCGB2A2	9
MDK	35
AMBRA1	0
MADD	0
PTPMT1	2
NAA40	1
CARS	16
SLC22A18	0
CD81	89
SLC35F2	0
C11orf21	0
ELMOD1	0
CALCA	201
SOX6	7
C11orf58	0
PITPNM1	1
RPS13	0
AIP	9
NUP98	13
NDUFS8	2
TCIRG1	6
CHKA	27
EXPH5	0
HPS5	0
GTF2H1	22
POU2AF1	17
PTPN5	10
VWF	193
PSMD9	10
P3H3	42
PPFIBP1	0
PRPF40B	0
CD69	51
PRDM4	18
CLEC2B	1
COQ5	0
SELPLG	99
CORO1C	6
ASIC1	0
DAO	8
CAPRIN2	0
TSPAN11	0
KCTD10	1
SLC11A2	14
MLEC	0
MVK	30
CSRNP2	0
CAMKK2	10
BIN2	0
IL23A	9
ATP5F1B	0
PTGES3	29
SYT10	0
BCL7A	0
RSRC2	1
CYP27B1	0
MYF6	3
MYF5	2
LIN7A	1
KRT18	127
ACSS3	0
TNS2	0
GLI1	39
PPM1H	0
METAP2	12
LTA4H	20
ELK3	45
SLC6A12	1
WNT5B	1
MAGOHB	0
TRPV4	0
ITFG2	13
FOXM1	34
PRR4	11
PRMT8	0
PARP11	1
ARPC3	5
GPN3	0
VPS29	0
FGF6	5
MYL2	13
RAD51AP1	1
CUX2	1
SH2B3	9
AKAP3	2
MANSC1	0
KCNA1	2
DUSP16	2
CREBL2	0
ACAD10	0
ALDH2	24
CDKN1B	63
GPRC5D	6
NAA25	1
GSG1	0
SCNN1A	0
LTBR	19
OGFOD2	1
CDK2AP1	9
OAS3	0
OAS2	12
ART4	3
MGP	11
RASAL1	0
ARHGDIB	60
GTF2H3	1
EIF2B1	2
DDX55	0
SLC38A1	11
RERGL	1
ENDOU	0
C12orf49	0
VDR	44
FZD10	7
RFC5	1
STX2	1
ADGRD1	0
COPZ1	0
TBC1D30	0
CAND1	25
IL26	4
IFNG	292
RAB5B	1
MDM1	1
NUP107	1
CNOT2	17
TIMELESS	5
CPSF6	15
KRR1	6
MRPL51	1
GAPDH	180
NOP2	0
CHD4	17
ACRBP	0
UHRF1BP1L	0
COPS7A	1
ING4	1
GNB3	11
CDCA3	54
CHPT1	0
USP5	17
TPI1	17
GNPTAB	0
SPSB2	11
ENO2	180
ATN1	6
C12orf57	0
PTPN6	61
LPCAT3	1
NT5DC3	0
SLCO1B3	5
APOBEC1	1
NANOG	53
SUDS3	1
GOLT1B	1
GYS2	0
LDHB	20
PRKAB1	53
CMAS	9
HCFC2	8
ST8SIA1	0
CLEC4A	5
C2CD5	0
AICDA	24
RAB35	1271
PHC1	8
COX6A1	7
AL021546.1	0
RFX4	1
RIC8B	0
SRSF9	4
FGFR1OP2	7
KLRB1	15
COL12A1	1
BTN3A3	1
TDP2	3
FRK	14
DSE	8
RWDD1	2
RSPH4A	0
MAK	17
TMEM14C	0
PAK1IP1	2
GCNT2	950
SMIM8	0
NEDD9	52
CEP85L	0
ADTRP	0
ASF1A	7
MCM9	0
FAM184A	0
RNGTT	1
MAN1A1	1
GABRR2	0
SERINC1	0
HDDC2	0
TPD52L1	15
HINT3	1
NCOA7	0
RIPOR2	0
SASH1	7
UST	0
ULBP1	5
FBXO5	6
MTRF1L	11
PPARD	16
OPRM1	5
FANCE	4
TULP1	0
SLC26A8	0
MAPK14	36
RHAG	2
KCTD20	0
STK38	29
SRSF3	1
SOD2	61
MRPL18	0
IL17A	55
IL17F	29
MCM3	24
RNF8	0
PHACTR1	1
MDGA1	0
ICK	2
FBXO9	2
CD83	50
MDN1	0
GLP1R	2
SAYSD1	0
BMP5	52
BACH2	0
RBM24	0
CAP2	9
TREML2	0
ZNF451	0
BAG2	12
RAB23	2
TSPO2	0
FHL5	9
GPR63	1
KHDRBS2	0
FBXL4	6
CCNC	0
PRDM13	0
E2F3	53
PTP4A1	1
SIM1	0
ASCC3	1
HDGFL1	1
BVES	12
COL9A1	3
MED23	1
WASF1	2
GPLD1	7
ALDH5A1	1
CRYBG1	1
VNN1	7
VNN2	1
ACOT13	2
SMAP1	1
RPS12	1
C6orf62	0
B3GAT2	0
GMNN	40
EYA4	0
SOBP	0
NR2E1	33
SNX3	2
SLC17A2	0
HBS1L	22
TRIM38	14
PEX7	0
ZBTB24	4
FIG4	1
PERP	1
ARFGEF3	0
SLC16A10	0
HECA	0
ADGRG6	0
PHACTR2	2
EPM2A	25
OR12D3	0
SLC39A7	0
CCR6	15
UNC93A	0
SLC22A2	21
PHF1	25
CUTA	0
PACRG	0
QKI	1
C6orf118	0
PDE10A	14
MDFI	5
TFEB	14
SMOC2	1
CCND3	43
BYSL	2
FAM120B	1
TBP	38
GUCA1B	6
PRPH2	28
BICRAL	0
PPP2R5D	8
MRPL2	0
PTK7	28
SRF	25
CUL9	16
DNPH1	0
DUSP22	7
EXOC2	0
COX7A2	0
TMEM30A	1
GMDS	3
SENP6	9
IMPG1	0
VEGFA	305
PRPF4B	4
TTK	31
SLC29A1	1
WISP3	0
BTN2A1	7
LAMA4	7
FAM46A	0
CLIC5	2
FBRSL1	0
ENPP5	7
LY86	8
PRSS16	0
MEP1A	0
TBX18	21
ERBIN	16
PCDHB2	0
HARS2	8
NUDT12	15
CEP72	0
MAN2A1	5
SEMA5A	0
C7	93
PAPD7	1
GHR	45
HMGCS1	1
DAP	20
NME5	2
BRD8	41
KIF20A	1
NNT	12
MRPS30	0
HSPA9	29
MRPS27	25
PFDN1	1
HBEGF	18
SLC4A9	2
LOX	39
GZMK	10
CDH9	1
APBB3	4
TMCO6	0
SPARC	48
IK	44
HMGCR	4
COL4A3BP	5
FAF2	2
HAND1	4
PCDHB3	6
PCDHB5	1
PCDHB6	5
PCDHB7	0
PDE8B	0
CLK4	0
PCDHB15	7
HAVCR1	25
GRM6	6
ITK	55
RNF130	0
THG1L	1
ARSB	5
CLINT1	10
THBS4	3
CNOT6	13
IL12B	34
BTNL8	0
TTC1	6
MSH3	72
RASGRF2	1
GABRG2	0
CCNG1	7
POLR3G	3
DROSHA	5
CDH6	20
LMNB1	18
ARRDC3	1
GOLPH3	1
SUB1	22
NPR3	12
FAM172A	0
SLC27A6	1
TARS	54
IRX4	0
LNPEP	3
PDE4D	3
RAD1	4128
BRIX1	9
AGXT2	1
PRLR	42
SLC12A7	0
IL4	229
RAD50	27
IL5	86
ST8SIA4	1
GNPDA1	1
PCDH12	0
SKP1	31
NUP155	1
PPP2CA	23
FGF1	31
NR3C1	117
C5orf15	0
PPWD1	7
LIFR	18
TRIM23	16
TRAPPC13	0
C9	92
SEC24A	0
TXNDC15	0
TTC33	0
RARS	6
WWC1	3
H2AFY	4
TCERG1	10
DPYSL3	13
SMAD5	37
CSNK1A1	15
HMGXB3	0
ERGIC1	1
PDGFRB	42
CDX1	27
ATP6V0E1	1
BNIP1	12
STC2	7
CPEB4	0
HRH2	0
DBN1	15
ZNF346	8
UNC5A	1
EHHADH	1
CNTN3	6
SMC4	3
SELENOK	0
ACTR8	0
TBCCD1	0
TIMMDC1	0
CRBN	2
KNG1	12
HRG	6
BCL6	53
HGD	9
CLDN16	2
ARL6	0
NPHP3	0
CD86	106
AMOTL2	1
NIT2	8
FAM162A	0
OGG1	5
KPNA1	17
PCCB	1
UBE3A	16
ARMC8	6
CEP70	0
RBP2	15
RBP1	11
SLC25A36	0
GRK7	15
RNF7	8
TFDP2	13
XRN1	3
KAT2B	32
BCHE	10
SERPINI2	1
PDCD10	3
LRRC31	0
WNT5A	7
PFKFB4	1
COL7A1	4
FGF12	12
PRKAR2A	26
HES1	45
USP4	9
ACAP2	8
ECT2	1
GNAT1	0
GNAI2	15
TFG	7
USP9Y	8
HYAL1	8
TUSC2	0
NPRL2	1
RPL24	1
CYB561D2	1
C3orf14	0
FXR1	16
CBLB	7
BBX	7
IFT57	15
GNB4	2
HHLA2	0
IQCG	0
GBE1	10
MORC1	2
UMPS	10
NCBP2	7
SNX4	10
C3orf52	0
FRMD4B	0
SLC41A3	0
ROPN1B	0
PLXNA1	13
ATP6V1A	1
ABTB1	6
PODXL2	4
UPK1B	9
CSPG5	7
KLHL18	0
SCAP	4
EFCC1	0
KIAA1257	0
NEK11	14
MRPL3	0
PLSCR4	8
HEMK1	0
CISH	2
MAPKAPK3	25
ACVR2B	7
WDR48	76
COMMD2	0
GORASP1	6
PEX5L	1
RRP9	9
ABCC5	35
AADAC	8
ABHD14B	3
EIF1B	0
ABHD14A-ACY1	0
ARHGEF26	0
KLHL24	0
PLCH1	0
VIPR1	6
DNAH1	1
SSR3	1
ZBTB47	0
TNNC1	36
NKTR	0
CLCN2	11
FOXP1	33
EIF4G1	17
SPCS1	0
NEK4	15
SLC4A3	54
INO80D	0
EEF1B2	7
ADAM23	1
DGUOK	6
MOB1A	1
KANSL3	0
LMAN2L	0
RTKN	12
TTL	5
IL1A	64
CCL20	14
PIKFYVE	12
KCNIP3	14
FAHD2A	12
NCL	153
ACTR1B	4
SLC35F5	0
ZAP70	133
ACTR3	18
STEAP3	0
EPB41L5	0
TFCP2L1	0
SF3B6	0
TP53I3	6
DNAJC27	0
POMC	57
STAM2	14
OTOF	4
GPD2	7
CENPA	27
CYTIP	0
ACVR1	64
TANC1	0
SLC30A3	3
MPV17	1
GTF3C2	15
EIF2B4	4
NRBP1	23
ITGB6	6
FNDC4	10
ITGA4	141
PSMD14	35
SNX17	4
ASB3	1
PPM1G	16
PDE1A	4
REEP6	0
PCSK4	2
GCG	68
APC2	14
IFIH1	7
RPS15	11
GCA	10
INO80B	0
MOGS	1
TTC31	1
NDUFS7	1
PCGF1	1
GRB14	1
CLIP4	3
TLX2	1
SPTBN1	1
AUP1	0
RTN4	19
HTRA2	59
LOXL3	0
DOK1	3
GALNT3	0
POLE4	0
TACR1	22
CCDC88A	4537
ACADL	0
EVA1A	0
MRPL19	3
LANCL1	67
WDR75	0
EFEMP1	3
REG1A	72
FANCL	4
FN1	403
STAT1	128
GLS	15
PAPOLG	0
DNAH6	0
PECR	9
UNC50	0
IGFBP2	18
ELMOD3	0
IGFBP5	28
USP34	10
EFHD1	19
KCNJ13	0
CCT4	9
GGCX	52
NEU2	65
EHBP1	0
OTX1	18
TXNDC9	8
COQ10B	0
GNLY	4
SF3B1	5
ST3GAL5	0
CHST10	1
PDCL3	9
MOB4	1
HSPE1	13
KDM3A	2
PLCD4	7
CHMP3	3
ZNF142	0
IL1R2	20
PRKAG3	0
SMYD1	1
IL1R1	102
WNT6	1
IL1RL2	1
IL1RL1	39
IL18R1	32
IL18RAP	6
SLC9A2	0
FHL2	14
MLPH	1
CNPPD1	0
UXS1	0
ABCB6	21
STK16	12
SLC5A7	7
HDLBP	9
PPP1R7	2
PASK	19
STK25	14
TPO	29
PROC	32
ID2	49
TAF1B	5
HPCAL1	0
ODC1	39
BIRC6	1
NOL10	2
PLEKHB2	2
GORASP2	6
STRN	4
CEBPZ	3
PRKD3	8
DCAF17	0
QPCT	33
RAB3GAP1	1
SLC25A12	1
RMDN2	0
DLX2	38
LCT	0
DARS	11
SRSF7	6
SDC1	90
PLCL1	5
SLC1A4	0
SOS1	17
KYNU	10
WIPF1	1
ORC2	31
COX7A2L	7
PNO1	1
ORC4	7
PLEK	31
RND3	8
ATF2	55
THADA	0
AAK1	1
TRAK2	1
C2orf42	0
TIA1	15
PCYOX1	5
KISS1R	2
EPAS1	40
ARID3A	16
SUMO1	26
CD207	13
GRIN3B	4
VAX2	7
ATP6V1B1	7
NFE2L2	48
MSH6	55
PLEKHA3	5
SPR	22
EPHA4	22
PARD3B	4
FARSB	11
ALMS1	0
BCL9	16
PRRX1	11
DHCR24	6
DNAJC16	0
MARK1	1
TNR	7
MORN1	0
GPX7	7
CACYBP	19
SCP2	10
TPSG1	11
PAPPA2	1
RALGPS2	10
ANGPTL1	12
CEP104	1
FAM20B	1
TCEANC2	1
TMEM59	0
LRRC42	1
WRAP73	0
NPHS2	2
MRPL37	0
ICMT	0
RPL22	0
CHD5	16
QSOX1	1
STXBP3	17
PHF13	3
ERRFI1	10
PARK7	27
KIAA1324	0
OPRD1	6
AMPD2	15
SRSF4	1
MECR	0
KCNC4	0
EDEM3	3
WDR77	14
ATP5PB	0
RAP1A	17
HDAC1	61
CAPZA1	8
S100PBP	0
RNF19B	0
SCAMP3	8
TRIM62	8
ASH1L	5
DLGAP3	20
SFPQ	25
RHOU	0
GON4L	0
ARHGEF2	3
LAMTOR2	1
MEF2D	24
DOCK7	2
SRM	8
FBXO2	5
FBXO6	13
C1orf21	0
SWT1	0
MAD2L2	4
DNAJC6	0
LEPR	8
IVNS1ABP	8
KIAA2013	0
MFN2	19
PRG4	10
MIIP	2
SMG7	0
NCF2	3
PDC	6
SLC35D1	0
PLA2G4A	13
GADD45A	12
PRAMEF1	0
PRAMEF12	0
WLS	0
PRDM2	7
RGS2	10
RPE65	10
TROVE2	25
AMPD1	2
UCHL5	4
BCAS2	10
SRSF11	1
CTH	22
AGMAT	8
OLFML3	1
TNNI3K	1
CFHR3	0
PLEKHM2	1
CRYZ	3
PHTF1	7
ZBTB17	1
CD58	115
TFAP2E	0
CD2	193
TTF2	21
NR5A2	26
KIF21B	0
TMEM9	0
ADPRHL2	1
MAP7D1	0
WARS2	3
HAO2	0
OSCP1	2
MRPS15	0
EXOC8	0
GNPAT	1
TSNAX	7
C1orf109	0
RRAGC	3
NID1	42
LGALS8	9
NT5C1A	0
HPCAL4	9
MTR	3103
BMP8B	10
MYCL	1
SIPA1L2	0
ZP4	0
RLF	2
KMO	1
ZNF684	0
KCNQ4	14
RIMS3	0
AKT3	79
ETV3	80
ACADM	4
ST6GALNAC5	0
SLAMF1	59
CD48	63
ADGRL2	0
PADI2	33
SDHB	4514
MFAP2	3
RPF1	1
KDM5B	18
UAP1	175922
ACTL8	1
CTBS	12
RGS4	9
KLHL12	7
IGSF21	0
SSX2IP	4
ZNHIT6	0
PLA2G2D	1
RBBP5	0
GBP3	0
GBP1	15
KIF17	1
GPR89A	0
CDK18	1
RAB29	0
CD160	7
ECE1	3
HMGCL	20
GALE	1
ID3	76
CR2	166
CD46	89
PRPF3	8
APH1A	3
P3H1	20
SLC2A1	22
EBNA1BP2	0
CDC20	7
MPL	3
ARTN	3
IPO13	1
ATP6V0B	0
B4GALT2	0
ERI3	1
PTCH2	3
AKR1A1	19
PRDX1	64
PIK3R3	4
TSPAN1	7
BLZF1	1
CCDC181	0
SLC19A2	10
FAAH	23
NSUN4	1
TMED5	0
MROH9	0
DR1	95
CNN3	2
PRRC2C	0
F3	215
ABCD3	3
VAMP4	1
DPH5	0
FASLG	182
PTBP2	17
TNFSF4	13
PRDX6	63
DARS2	2
HSD11B1	8
IRF6	9
DIEXF	0
PLPPR5	0
PLPPR4	0
SERPINC1	47
RCAN3	3
SYF2	1
RSRP1	0
SLC35A3	8
RCOR3	0
STMN1	39
MTFR1L	0
MAN1C1	0
NEK2	44
RPS6KA1	63
DHDDS	0
NENF	0
NSL1	0
PROX1	28
ARID1A	18
CENPF	25
RPA2	43
PPP1R8	17
STX12	3
MARC2	83
SLC5A9	1
OSBPL9	1
TXNDC12	5
ESYT2	2
CD3EAP	18
MESD	3
RCN2	2
CHRNB4	0
MUC5B	14
CTSD	92
COLEC11	0
STAG1	43
A4GNT	7
STK11	20
KMT2A	22
TREH	0
IFT46	1
MMP8	21
APOA1	65
ZNF541	2
SLC8A2	0
KPTN	10
RPS25	0
KIF14	0
TNNT2	101
DDX59	9
CAMSAP2	2
ATF6	13
CRYGD	10
MREG	14
TNP1	12
FASTKD2	0
NRP2	14
CREB1	39
KLF7	9
TTR	21
B4GALT6	0
C1orf54	0
CA14	5
CASC1	1
LRMP	0
ATP10B	1
SPCS2	5
USP35	10
ELOVL4	0
FILIP1	1
CASP8AP2	0
HMGN3	0
UBE3D	0
CNR1	9
SPACA1	0
ANKRD13C	0
SGIP1	0
PHF3	0
ZC2HC1B	0
ADGB	0
PLAGL1	8
FBXO30	0
TNFAIP3	14
AKAP7	9
RAB32	2
MYB	33
ALDH8A1	1
SGK1	34
RNF146	1
ARG1	12
CTGF	24
TCF21	1
PMFBP1	2
FBXL5	1
MED28	1
SLC16A7	0
RXYLT1	0
ZNF430	0
VAMP8	8
DCLRE1B	2
MYL12B	7
FOXO3	55
ARMC2	1
GHRH	1
RPN2	6
TGIF2	33
CASQ2	10
OLFM3	9
PKD2	15
ABCG2	75
SPP1	66
STBD1	2
CCNI	0
RARRES1	11
MFSD1	0
RAB3GAP2	1
EEF2KMT	0
PPL	1
UBN1	7
KLF12	8
UCHL3	14
PCDH17	0
HS1BP3	5
LDAH	0
WDR35	0
CCND2	46
FGF23	5
ELL2	5
DNAH7	0
CYP20A1	2
NDUFB3	9
GTF3C3	10
SATB2	13
UBE2B	7
TRPM6	0
GDA	1
KLF9	16
TJP2	1
C2orf40	4
ITGB1BP1	14
CPSF3	13
PIGZ	1
SENP5	1
CCDC92	0
C1orf198	0
TRIM67	0
HEATR1	1
PTBP3	9
RAD23B	25
FKBP15	0
CTNNAL1	10
FAM206A	0
WDR34	1
SET	197
PTPA	5
GLE1	1
RAB14	0
CNTRL	0
TRIM32	6
FBXW2	0
PHF19	1
NEK6	14
BSPRY	0
PPP6C	1
NDUFA8	2
HDHD3	0
RBM18	0
SLC46A2	5
HSDL2	1
MAPKAP1	11
NR4A3	55
INVS	0
GALNT12	0
DENND1A	1
ALG2	16
CSF3R	29
KDSR	10
VPS4B	0
ONECUT2	1
C19orf25	0
ZBTB45	0
YLPM1	0
DCAF4	1
PROX2	0
VSX2	2
FCF1	0
PGF	9
IFI27L2	0
BBOF1	0
NEK9	12
ACYP1	7
IFT43	0
NPC2	4
DNAL1	0
IRF2BPL	0
ACOT2	0
LTBP2	7
AREL1	0
MLH3	1
TTLL5	0
FLVCR2	31
ABCD4	0
DLST	2
PPP4R4	0
TGFB3	3
ZC2HC1C	0
SLIRP	1
RBM25	0
ALDH6A1	1
GPR68	2
ESRRB	8
EIF2B2	10
NRDE2	1
COQ6	2
ZNF410	2
RHOQ	10
GPR75	1
SUPT7L	0
KLHL29	0
DNMT3A	22
TMEM214	0
ATAD2B	0
FKBP1B	9
ATL2	0
YPEL5	0
FAM98A	0
YIPF4	0
AFTPH	0
LGALSL	1
CNRIP1	0
BCL11A	14
CRIPT	0
EPCAM	251
SLC17A5	0
OGFRL1	1
SLF2	0
IDE	175922
TECTB	0
ELOVL3	1
IFIT3	4
NKX2-3	1
IFIT2	0
GPAM	12
CUTC	0
PPP1R3C	1
PYROXD2	0
CNNM1	1
MXI1	10
SMNDC1	10
C10orf88	0
HELLS	11
PRLHR	0
TCTN3	0
FAM45A	0
AVPI1	2
WDR11	5
C10orf76	0
KCNIP2	17
CFAP58	0
GOT1	5
CPN1	4
C10orf95	0
SFRP5	0
GNA13	13
HOXB8	8
KANSL1	1
HOXB5	6
CRHR1	3
HOXB3	0
HOXB1	27
DUSP1	4
PANK3	3
MSX2	13
TEK	271
RCL1	1
CAAP1	0
EQTN	0
MOB3B	13
INSL6	1
INSL4	0
MLANA	84
CD274	32
IFNA6	2
IFNA8	2
GRIA2	20
NUP43	23
MTHFD1L	8
LRP11	0
CCDC170	0
PCMT1	14
PLEKHG1	0
MYCT1	0
CXorf21	0
MAGEB4	0
CYSTM1	0
WDR55	0
ARAP3	3
PCDHB8	0
PCDHB10	8
PCDHB14	5
PCDHB12	7
SLC25A2	0
TNN	0
MRPS14	1
CENPL	1
TNFSF18	22
SEC16B	0
GORAB	11
GPR31	0
ACAT2	17
TCP1	30
TTLL2	1
SNX19	1
KCNJ5	1
MSANTD2	0
TP53AIP1	0
TEX11	0
ARR3	22
PDZD11	0
SLC10A7	22
NUDCD1	1
ENY2	0
MASTL	9
KIAA1217	0
LYZL1	0
PLXDC2	2
EPC1	4
IQSEC3	0
CCDC77	0
TAF12	11
ENOX1	0
TNFSF11	50
MTRF1	1
SOHLH2	4
DNAJC15	3
PROSER1	0
UFM1	0
WBP4	0
ELF1	9
SMAD9	9
HSPH1	13
KBTBD7	2
ALG5	1
EXOSC8	35
ETF1	3
TGFBI	11
FAM53C	0
SIL1	13
PAIP2	1
MYOT	0
KDM3B	2
EGR1	40
SERP1	0
PLS1	4
ZFP30	1
NR2C1	27
UTP20	0
TMPO	4
ARL1	1
GLT8D2	0
MTERF2	0
SOCS2	9
NFYB	25
WASHC3	0
APAF1	47
DUSP4	22
CLU	73
TNFRSF10B	172
SORBS3	0
PTK2B	53
CHRNA2	0
ADRA1A	15
PPP3CC	1
PDLIM2	12
EPHX2	12
RNF170	1
NPPB	108
UBIAD1	0
TARDBP	29
TNFRSF8	176
PRAMEF2	0
ZNF706	0
LYPLA1	2
CRISPLD1	0
COPS5	34
RDH10	0
EPX	72
AKAP1	8
COIL	96
TRIM25	20
SCPEP1	1
SPOP	2
TBX2	14
SLC35B1	0
TBX4	0
TEX14	0
FAM117A	0
NCAPH	12
LRAT	7
TMEM131L	0
MND1	1
TRIM6	0
ABCC11	41
PAPD5	0
ADCY7	0
CEP89	0
TSHZ3	0
ECHDC2	0
TAS2R8	1
PLBD1	0
TAS2R10	1
PRB2	98
PYROXD1	0
IAPP	52
KCNJ8	0
TAS2R7	0
BCL2L14	6
TAS2R9	0
PSPC1	0
ZNF549	0
A1BG	19
ZSCAN18	14
ZNF211	0
PDZRN3	1
RGSL1	0
LHX4	43
RNF2	49
TRMT1L	1
SEC22A	0
CSTA	9
DPPA4	5
POPDC2	0
B4GALT4	7
NAA50	1
CD80	180
KIF18A	0
GJA8	1
DESI2	0
MAPK8IP1	3
CRY2	3
PEX16	1
DEPDC7	0
CAT	175922
PILRB	0
ZMYM2	0
GJB6	2
GJA3	0
TBC1D15	0
ADGRB2	0
HCRTR1	1
ZCCHC17	0
FABP3	65
KHDRBS1	22
TMEM39B	1
CCRL2	23
CCR2	19
POLR3GL	6
GHSR	1
TNFSF10	165
ZNF639	0
SLITRK3	0
PIK3CA	17
PDS5A	2
TMEM156	0
LIAS	19392
CPXM2	4
TMEM54	1
ZSCAN20	13
CSMD2	0
HPCA	1
LRIF1	1
TMIGD3	0
CLCC1	0
GPSM2	7
GTDC1	2
CXCR4	74
ZRANB3	0
ACVR2A	15
POLK	10
SV2C	1
FLT3	59
RPL21	4
MTIF3	8
GTF3A	20
RASL11A	0
UBL3	9
FYTTD1	0
MTERF4	0
XPNPEP2	4
SASH3	0
OCRL	12
PAEP	86
OBP2A	0
MRPS2	2
TBX22	1
FMOD	13
MYOG	87
LAX1	0
PLG	404
KIAA1191	0
COPA	1
CD244	192
LY9	45
HS3ST2	5
RBBP6	17
ZC3H7A	0
PRM2	1
SERAC1	0
ANXA11	4
LDB3	14
OPN4	0
FAM35A	0
FAM213A	0
ZNF205	0
NAA60	1
RPL5	0
ODF2L	0
PTGFR	1
SPATA1	1
TRMT13	0
LRRC39	2
RWDD3	0
ZNF644	0
CCDC18	0
RPAP2	0
PQLC1	0
BBS9	1
PMS2	34
ZMIZ2	0
OCM	0
SEPT7	1
EEPD1	1
KLHL7	0
HERPUD2	0
CBX3	41
HNRNPA2B1	20
WIPF3	0
NXPH1	0
NPY	37
FAM126A	0
HOXA7	81
INHBA	9
FKBP9	9
NT5C3A	0
ARL4A	1
CCZ1	0
POLM	1
RAMP3	10
MRM2	0
TWIST1	49
SMU1	10
GLIPR2	0
SLC25A51	1
CLTA	79
RECK	8
SPINK4	1
TAF1L	9
ACO1	17
PHF24	0
DNAI1	8
DCAF10	0
CNTFR	4
KIAA1549	0
TRIM24	29
C7orf49	0
CALD1	121
AKR1D1	7
NUDT10	15
SFTPA1	173
NEUROG3	38
PLAU	108
SRGN	3
CHST3	10
BICC1	1
CISD1	4
EGR2	6
ECD	6
P4HA1	1
SLC25A16	3
ZWINT	12
VPS26A	5
RBM19	1
CIT	2
IFT81	0
ACADS	3
HVCN1	1
DDX54	16
MED13L	0
CDKN2C	36
RNF11	6
RASSF8	17
BHLHE41	17
SSPN	0
ITPR2	0
CCDC91	0
NECAB1	8
WWP1	9
ACOT9	12
PRDX4	36
DDX39A	2
PKN1	14
TRIR	0
ADGRE5	0
WDR83	1
GIPC1	1
ACTRT1	0
CCDC70	0
SPRYD7	0
EBPL	3
ATP7B	12
ZC3H13	0
NLN	11
CENPK	22
OPTN	7
ITIH5	0
ATF1	22
TSFM	2
NEUROD4	1
ARHGAP9	0
NCKAP1L	0
MMP19	0
PFDN5	10
SPATS2	1
ORMDL2	1
NR4A1	15
PDE1B	15
HOXC13	10
CDK2	120
LRP1	65
HOXC11	14
ATG101	0
NFE2	4
HOXC12	18
IKZF4	8
SMUG1	0
TUBA1B	18
EEF1AKMT3	0
KBTBD4	0
SARDH	0
DBH	5
ATPAF1	0
STIL	1
HJURP	1
IL13RA2	16
COL10A1	2
AMD1	1
NDUFAF4	0
USP45	5
PLP1	26
SERPINA7	5
MORF4L2	1
H2BFWT	0
RAB9B	3
NRK	3
FAM199X	0
